ObjectNum,Name,Type,Constellation,Magnitude,Info,RAHour,RAMinute,DecSign,DecDeg,DecMinute
1492,ESO 359-12,Galaxy,Eri,,"vF, vS, R",3,58.1,-,35,27
1495,ESO 249-34,Galaxy,Hor,,"Size: 2.9  eF, S, lE 90deg , vgvlbM",3,58.4,-,44,28
1499,LBN 756,Nebula,Per,,"Size: 145.  vF, vL, E ns, dif",4,0.7,+,36,37
1502,OCL 383,Open Cluster,Cam,5.7,"Size: 8.  Cl, pRi, cC, iF",4,7.7,+,62,20
1528,OCL 397,Open Cluster,Per,6.4,"Size: 24.  Cl, B, vRi, cC",4,15.4,+,51,14
1540,ESO 420-14,Galaxy,Eri,,"Size: 1.2  vF, vS, E, gvlbM, r",4,15.2,-,28,29
1545,OCL 399,Open Cluster,Per,6.2,"Size: 18.  Cl, pRi, lC, st L",4,20.9,+,50,15
1547,ESO 550-G018,,Eri,,"pF, pS, iR, Cl",4,17.2,-,17,53
1548,,Open Cluster,Per,,"Cl, vL, lRi, lC, st 10...12",4,21,+,36,56
1554,LBN 817,Nebula,Tau,,"!!! var, S, R, Nn = *13",4,21.8,+,19,32
1558,ESO 250-17,Galaxy,Hor,,"pF, S, E, gbM",4,19.3,-,45,2
1562,NPM1G -15.0224,Galaxy,Eri,,"vF, eS, R, glbM",4,21.7,-,15,45
1563,MCG 3-12-5,,Eri,,"eF, vS, R, lbM, D with 1564",4,22.9,-,15,44
1564,NPM1G -15.0226,Galaxy,Eri,,"eF, vS, R, lbM, D with 1563",4,22.9,-,15,44
1570,NGC 1571,Galaxy,Cae,,"F, S, R, gbM; = 1571",4,22.1,-,43,38
1571,NGC 1570,Galaxy,Cae,,"vF, S, R, gbM, **  nf",4,22.2,-,43,38
1572,ESO 303-14,Galaxy,Cae,,"pF, S, R, *13 nf 1'",4,22.6,-,40,36
1579,LBN 766,Nebula,Per,,"Size: 12.  pB, vL, iR, mbM, *8 350deg , ",4,30.2,+,35,16
1582,OCL 407,Open Cluster,Per,7,"Size: 37.  Cl, vL, pRi, lC, st L",4,32,+,43,51
1584,ESO 551-6,Galaxy,Eri,,"F, eS, R, sbMN",4,28.1,-,17,32
1585,ESO 303-18,Galaxy,Cae,,"pF, S, R, gbM, *12 288deg",4,27.5,-,42,9
1592,ESO 421-G002,,Eri,,only F st,4,29.6,-,26,58
1593,NGC 1608,Galaxy,Tau,,vF; = 1608,4,31.9,+,0,34
1606,MCG 1-12-22,Galaxy,Eri,,eF,4,32.1,-,5,2
1610,,Galaxy,Eri,,"eF, vS, R, bMN",4,34.1,-,4,42
1616,ESO 251-10,Galaxy,Cae,,"F, S, E, vglbM",4,32.7,-,43,43
1623,DRCG 10-7,Galaxy,Eri,,"eF, vS, R, gbMN",4,34.9,-,13,31
1630,ESO 551-19,Galaxy,Eri,,"eF, eS, R",4,37.3,-,18,54
1639,,Triple Star,Eri,,only 3 st 12.5 forming equilateral trian,4,40.9,-,17,0
1647,OCL 457,Open Cluster,Tau,6.4,"Size: 45.  Cl, vL, st L, sc",4,46,+,19,4
1655,,,Tau,,hazy *,4,46.2,+,20,56
1658,ESO 304-16,Galaxy,Cae,,"F, pS, pmE, glbM",4,44,-,41,27
1660,ESO 304-18,Galaxy,Cae,,"vF, S, lE, glbM",4,44.2,-,41,29
1662,OCL 470,Open Cluster,Ori,6.4,Size: 20.  Cl of L & S sc st,4,48.5,+,10,56
1663,OCL 461,Open Cluster,Ori,,"Cl, lRi, st L & S",4,48.6,+,13,10
1668,ESO 251-30,Galaxy,Cae,,"eF, R, att to *14",4,46.1,-,44,43
1679,ESO 422-1,Galaxy,Cae,,"Size: 3.2  vB, L, iR, 4 st inv",4,50,-,31,59
1683,NPM1G -03.0218,Galaxy,Ori,,"vF, R",4,52.3,-,3,1
1687,ESO 361-13,Galaxy,Cae,,"vF, S, R, vglbM",4,51.3,-,33,56
1692,ESO 552-21,Galaxy,Lep,,"Size: 1.3  eF, vS, R",4,55.4,-,20,34
1717,,Star,Ori,,np 1719 (F*?),4,59.2,-,0,15
1742,,Star,Ori,,"vF, vS, 3s .6 f 1740",5,1.7,-,3,18
1746,OCL 452,Open Cluster,Tau,6,"Size: 42.  Cl, P",5,3.6,+,23,49
1750,,Open Cluster,Tau,,"Cl, st L, vc sc",5,3.9,+,23,39
1758,OCL 453,Open Cluster,Tau,,"Cl, pC, st L and S",5,4.4,+,23,46
1759,ESO 305-1,Galaxy,Cae,,"vF, pL, vglbM",5,0.8,-,38,43
1781,NGC 1794,,Lep,,"eF, vS, stellar; = 1794",5,7.9,-,18,10
1788,LBN 916,Nebula,Ori,,"Size: 8.  B, cL, R, bM *** ; *10 inv in ",5,6.9,-,3,21
1807,OCL 462,Open Cluster,Tau,7,"Size: 17.  Cl, pRi, st L & S",5,10.7,+,16,32
1827,ESO 362-6,Galaxy,Col,,"Size: 3.4  vF, vmE, long ray, *11 inv",5,10.1,-,36,58
1843,MCG 2-14-8,Galaxy,Ori,,"Size: 1.8  F, S, R, lbM",5,14.1,-,10,38
1851,Dunlop 508,Globular Cluster,Col,7.3,"Size: 11.0  glob. cl. ! vB, vL, R, vsvvb",5,14.1,-,40,3
1857,OCL 428,Open Cluster,Aur,7,"Size: 6.  Cl, pRi, pC, st 7...",5,20.2,+,39,21
1886,ESO 487-2,Galaxy,Lep,,"Size: 2.6  vF, pL, E 240deg , *9 p 11s ,",5,21.8,-,23,49
1904,M 79,Globular Cluster,Lep,8,"Size: 8.7  glob. cl. , pL, eRi, eC, rrr;",5,24.5,-,24,33
1906,MCG 3-14-15,,Lep,,"eF, pS, E 0deg , glbM",5,24.8,-,15,58
1912,M 38,Open Cluster,Aur,6.4,"Size: 21.  Cl, B, vL, vRi, iF, st L & S;",5,28.7,+,35,50
1952,M 1,Nebula,Tau,8.4,"Size: 6.  vB, vL, E 135deg +/- , vglbM, ",5,34.5,+,22,1
1957,NPM1G -14.0249,Galaxy,Lep,,"eF, pS, R, bMN, *15 inv",5,32.9,-,14,7
1960,M 36,Open Cluster,Aur,6,"Size: 12.  Cl, B, vL, vRi, lC, st 9...11",5,36.1,+,34,8
1963,ESO 363-SC5,Galaxy,Col,,"Size: 3.5  Cl, st 8...11",5,33.3,-,36,25
1973,CED 55B,Nebula,Ori,,Size: 5.  *8-9 inv in neb (1977),5,35.1,-,4,44
1975,CED 55C,Nebula,Ori,,Size: 10.  B**  inv in neb (1977),5,35.4,-,4,41
1976,M 42,Nebula,Ori,4,Size: 66.  !!! theta1 Ori and the great ,5,35.4,-,5,27
1977,OCL 525,Nebula,Ori,,"Size: 20.  !!, 42 Ori and neb",5,35.5,-,4,52
1980,OCL 529,Nebula,Ori,,"Size: 14.  vF, vvL, 44 Ori inv",5,35.4,-,5,54
1981,OCL 525,Open Cluster,Ori,4.6,"Size: 25.  Cl, vB, lRi, st L, sc",5,35.2,-,4,26
1982,M 43,Nebula,Ori,9,"Size: 20.  ! vB, vL, R with tail, mbM *8",5,35.6,-,5,16
1985,PK 176+0.1,Nebula,Aur,,"cF, S, R, psbM",5,37.7,+,32,0
1988,,Star,Tau,,"!!!, variable (?)",5,37.5,+,21,14
1989,ESO 423-21,Galaxy,Col,,"Size: 1.8  vF, S, R, lbM, st nr",5,34.4,-,30,48
1990,LBN 940,Nebula,Ori,,"Size: 50.  !!!, eL, E, epsilon Ori inv p",5,36.2,-,1,12
1999,LBN 979,Nebula,Ori,,Size: 16.  *10-11 inv in neb,5,36.5,-,6,42
2023,LBN 953,Nebula,Ori,,"Size: 10.  B* in M of L, lE neb",5,41.6,-,2,14
2024,CED 55P,Nebula,Ori,,"Size: 30.  ! irr, B, vvL, black sp incl",5,41.9,-,1,51
2045,,,Tau,,*8-9 with F neb,5,45,+,12,53
2054,,Asterism,Ori,,only 3 S st and no neb,5,45.2,-,10,5
2064,LBN 1627,Nebula,Ori,,"Size: 12.  eF, vS, *9-10 np 4'",5,46.3,+,0,0
2067,DG 79,Nebula,Ori,,"Size: 8.  F, pL, M78 s",5,46.5,+,0,6
2068,M 78,Nebula,Ori,8,"Size: 8.  B, L, wisp, gmbN, 3 st inv, r;",5,46.7,+,0,3
2070,ESO 57-EN6,Cluster Nebulosity,Dor,8.2,"Size: 40.  !!! vB, vL, looped",5,38.6,-,69,5
2071,LBN 938,Nebula,Ori,,"Size: 4.  D* (10 & 14m) with vF, L chev",5,47.2,+,0,18
2099,M 37,Open Cluster,Aur,5.6,"Size: 24.  Cl, Ri, pCM, st L & S; = M37",5,52.4,+,32,33
2119,UGC 3380,Galaxy,Ori,,"F, vS, R, bM",5,57.4,+,11,57
2129,OCL 467,Open Cluster,Gem,6.7,"Size: 7.  Cl, pL, 40 or 50 st 8...15",6,1,+,23,18
2131,ESO 488-50,Galaxy,Lep,,"vF, pS, R, gbM",5,58.7,-,26,38
2149,VDB 66,Nebula,Mon,,"Size: 3.  F, *12 inv",6,3.5,-,9,44
2163,,,Ori,,"eF, E, dif, *11 att s",6,7.8,+,18,40
2168,M 35,Open Cluster,Gem,5.1,"Size: 28.  Cl, vL, cRi, pC, st 9...16; =",6,8.9,+,24,20
2169,OCL 481,Open Cluster,Ori,5.9,"Size: 7.  Cl, S, lRi, pmC, **  (ADS 4728",6,8.4,+,13,57
2170,LBN 994,Nebula,Mon,,"Size: 2.  *9 in vF, pL neb, E 170deg",6,7.5,-,6,24
2174,CED 67A,Nebula,Ori,,"Size: 40.  eF, bet 3 vF st",6,9.7,+,20,30
2175,OCL 476,Open Cluster,Ori,6.8,Size: 18.  *8 in neb,6,9.8,+,20,19
2182,LBN 998,Nebula,Mon,,"Size: 3.  pB** , L* neb, E 90deg +/-",6,9.5,-,6,20
2183,LBN 996,Nebula,Mon,,"Size: 1.  eF, S, lE, *11-12 sp",6,10.8,-,6,13
2184,,Open Cluster,Ori,,"Cl, L, vlC",6,10.9,-,3,31
2185,LBN 997,Nebula,Mon,,"Size: 3.  *11 and 4 S st in vF, L neb",6,11.1,-,6,13
2195,,Nebula,Ori,,"F, S, 2 S st inv, *10 n 31""",6,14.4,+,17,39
2200,ESO 254-39,Galaxy,Pup,,"eF, pS, R, vlbM",6,13.4,-,43,39
2201,ESO 254-40,Galaxy,Pup,,"eF, S, R, pslbM",6,13.4,-,43,41
2220,ESO 255-**4,Asterism,Pup,,"Cl, B, P, st 8...",6,21.8,-,44,46
2225,,Open Cluster,Mon,,"Cl, P, lCM, st 12...15",6,26.6,-,9,39
2232,OCL 545,Open Cluster,Mon,3.9,Size: 30.  B* (10 Mon) + Cl,6,26.6,-,4,45
2237,OCL 511,Nebula,Mon,,"pB, vvL, dif, part of eL nebs ring ar 22",6,30.3,+,5,3
2238,LBN 948,Cluster Nebulosity,Mon,,"S* in neby, part of eL nebs ring ar 2239",6,30.6,+,5,1
2239,NGC 2244,Open Cluster,Mon,,"Size: 16.  *8 in L, P, B Cl",6,31,+,4,57
2244,NGC 2239,Open Cluster,Mon,4.8,"Size: 24.  Cl, beautiful, st sc (12 Mon)",6,32.4,+,4,52
2245,LBN 904,Nebula,Mon,,"Size: 5.  pL, com, mbN sf alm *, *7-8 nf",6,32.7,+,10,10
2246,LBN 948,Nebula,Mon,,"eeF, L, irr R, e diffic",6,32.4,+,5,7
2247,LBN 901,Nebula,Mon,,"Size: 4.  neb* in eF, eL neby, nf 2245",6,33.2,+,10,20
2253,UGC 3511,Open Cluster,Cam,,"vF, st eS",6,42.4,+,66,20
2255,ESO 365-31,Galaxy,Col,,"eF, S, lE, vlbM",6,34,-,34,47
2261,LBN 920,Nebula,Mon,,"Size: 2.  B, vmE 330deg , N com = *11",6,39.2,+,8,44
2264,OCL 495,Cluster Nebulosity,Mon,3.9,"Size: 60.  eL neb, 3deg  diam, densest 1",6,41.1,+,9,53
2281,OCL 446,Open Cluster,Aur,5.4,"Size: 15.  Cl, pRi, vlC, st pL",6,49.3,+,41,4
2282,IC 2172,Nebula,Mon,,"Size: 3.  *10 in F, R neby",6,46.9,+,1,19
2287,M 41,Open Cluster,CMa,4.5,"Size: 38.  Cl, vL, B, lC, st 8...; = M41",6,47,-,20,44
2301,OCL 540,Open Cluster,Mon,6,"Size: 12.  Cl, Ri, L, iF, st L & S",6,51.8,+,0,28
2313,LDN 1653,Nebula,Mon,,"F, vS, R",6,58,-,7,57
2316,NGC 2317,Nebula,Mon,,"Size: 4.  pF, S, R, r, S st inv",6,59.7,-,7,46
2318,,Open Cluster,CMa,,"Cl, L, sc st 8...9",6,59.5,-,13,42
2323,M 50,Open Cluster,Mon,5.9,"Size: 16.  ! Cl, vL, Ri, pC, E, st 12...",7,3.2,-,8,20
2327,CED 89B,Nebula,CMa,,"pB**  inv in S, vF, neb",7,4.3,-,11,18
2328,ESO 309-16,Galaxy,Pup,,"vF, S, vlE, bM, am st",7,2.5,-,42,3
2338,,Asterism,Mon,,"Cl, vlC",7,7.7,-,5,37
2343,OCL 565,Open Cluster,Mon,6.7,"Size: 7.  Cl, cL, P, lC",7,8.3,-,10,39
2346,PK 215+3.1,Planetary Nebula,Mon,,"Size: 0.9  *10 att with S, vF, neb",7,9.4,-,0,48
2351,,,Mon,,"Cl, lC, **  taken",7,13.5,-,10,29
2354,OCL 639,Open Cluster,CMa,6.5,"Size: 20.  Cl, cRi, lC",7,14.3,-,25,44
2359,LBN 1041,Nebula,CMa,,"Size: 8.  !!, vF, vvL, viF",7,18.6,-,13,12
2360,OCL 589,Open Cluster,CMa,7.2,"Size: 13.  Cl, vL, Ri, pC, st 9...12",7,17.8,-,15,37
2361,,Double Star,CMa,,"vvF, vS; part of 2359",7,18.4,-,13,13
2362,OCL 633,Cluster Nebulosity,CMa,4.1,"Size: 8.  Cl, pL, Ri (30 CMa)",7,18.8,-,24,57
2363,UGC 3847,Galaxy,Cam,,"neb* or vFvS, 2366 sf",7,28.7,+,69,4
2364,,Open Cluster,Mon,,"Cl, pC, st pL, bifid",7,20.8,-,7,34
2372,NGC 2371,Planetary Nebula,Gem,,"pB, S, R, bMN, f of Dneb",7,25.6,+,29,30
2382,NGC 2380,,CMa,,"pF, S, R, bM; = 2380",7,23.9,-,27,32
2386,,Triple Star,Gem,,stellar,7,28.6,+,33,46
2390,,Star,Gem,,vF,7,29,+,33,50
2392,PK 197+17.1,Planetary Nebula,Gem,10,"Size: 0.7  B, S, R, *9 M, *8 nf 100""",7,29.2,+,20,55
2396,OCL 579,Open Cluster,Pup,7,"Size: 10.  Cl, vL, vlC",7,28.1,-,11,44
2399,,Triple Star,CMi,,1st of 2 F neb (vS clusters?),7,29.9,-,0,13
2400,,Triple Star,CMi,,2nd of 2 F neb (vS clusters?),7,30,-,0,13
2403,UGC 3918,Galaxy,Cam,8.4,"Size: 17.8  !! cB, eL, vmE, vgmbMN",7,36.9,+,65,36
2404,,Nebulosity in External Galaxy,Cam,,"vF, vS",7,37.1,+,65,42
2408,,Asterism,Cam,,"Cl, vlC",7,40.5,+,71,39
2419,GCL 12,Globular Cluster,Lyn,10.4,"Size: 4.1  pB, pL, lE 90deg , vgbM, *7-8",7,38.1,+,38,53
2422,M 47,Open Cluster,Pup,4.4,"Size: 30.  Cl, B, vL, pRi, st L and S; =",7,36.6,-,14,30
2423,OCL 592,Open Cluster,Pup,6.7,"Size: 19.  Cl, vL, Ri, pC, st vS",7,37.1,-,13,52
2425,OCL 599,Open Cluster,Pup,,"Size: 3.  Cl, P, S, st vS",7,38.3,-,14,52
2433,,Galaxy,CMi,,"eF, *15, 90"" sp",7,43,+,9,19
2436,NGC 2431,Star,Lyn,,"vF, vS, R, bM",7,46.1,+,52,4
2437,M 46,Open Cluster,Pup,6.1,"Size: 27.  !, Cl, vB, vRi, vL, inv PN ; ",7,41.8,-,14,49
2439,OCL 688,Open Cluster,Pup,6.9,"Size: 10.  Cl, B, pRi, pL, lC,  st 9, 12",7,40.8,-,31,39
2447,M 93,Open Cluster,Pup,6.2,"Size: 22.  Cl, L, pRi, lC, st 8...13; = ",7,44.6,-,23,52
2451,OCL 716,Open Cluster,Pup,2.8,"Size: 45.  Cl, vvL, vlC, one *4.5",7,45.4,-,37,58
2458,MCG 10-12-16,Galaxy,Lyn,,"vF, *12 close",7,55.4,+,56,43
2459,,,CMi,,only a couple of F st,7,52,+,9,33
2467,OCL 668,Cluster Nebulosity,Pup,7,"Size: 16.  pB, vL, R, er, *8 M",7,52.6,-,26,23
2471,,Star,Lyn,,"*13, slightly nebulous",7,58.3,+,56,45
2477,OCL 720,Open Cluster,Pup,5.8,"Size: 27.  !, Cl, B, Ri, L, lC, st 12",7,52.3,-,38,33
2495,MCG 7-17-8,Galaxy,Lyn,,"Size: 0.4  follows 2493 2' or 3', eF, vS",8,0.6,+,39,50
2506,OCL 593,Open Cluster,Mon,7.6,"Size: 7.  Cl, pL, vRi, C, st 11...20",8,0.2,-,10,47
2515,,,Cnc,,"vF, cometic",8,3.4,+,20,11
2516,OCL 776,Open Cluster,Car,3.8,"Size: 30.  Cl, vB, vL, pRi, st 7...13",7,58.3,-,60,52
2519,,,Lyn,,"F, L, R, gbM, 42s  f 2518",8,8,+,51,7
2520,NGC 2527,,Pup,,"Cl, B, pRi, pC; = 2527",8,2.5,-,28,11
2527,NGC 2520,Open Cluster,Pup,6.5,"Size: 22.  Cl, vL, pRi, lC, st 10...15",8,5.3,-,28,10
2530,UGC 4237,,Cnc,,"eF, lE, vS* n",8,7.9,+,17,49
2531,,,Cnc,,vF,8,8,+,17,49
2539,OCL 611,Open Cluster,Pup,6.5,"Size: 22.  Cl, vL, Ri, lC, st 11...13",8,10.7,-,12,50
2546,OCL 726,Open Cluster,Pup,6.3,"Size: 41.  Cl, B, L, lC, iE, st 9...12",8,12.4,-,37,38
2548,M 48,Open Cluster,Hya,5.8,"Size: 54.  Cl, vL, pRi, pmC, st 9...13; ",8,13.8,-,5,48
2559,ESO 494-41,Galaxy,Pup,,"Size: 5.6  F, pL, gmbM, am 60 st",8,17.1,-,27,28
2564,ESO 562-1,Galaxy,Pup,,"vF, S, R, gbM, am many st",8,18.6,-,21,49
2568,OCL 727,Open Cluster,Pup,,"vF, pL, F* inv",8,18,-,37,6
2571,OCL 701,Open Cluster,Pup,7,"Size: 13.  Cl, vL, cRi, lC, st 9...",8,18.9,-,29,44
2625,MK 625,Galaxy,Cnc,,"Size: 0.4  eF, vS",8,38.4,+,19,42
2626,ESO 313-N*4,Nebula,Vel,,"Size: 5.  *9 inv in pB, pL, R neb",8,35.6,-,40,40
2632,M 44,Open Cluster,Cnc,3.1,Size: 95.  Praesepe; = M44,8,40.1,+,19,59
2637,ZWG 89. 65,Galaxy,Cnc,,"eeF, vS",8,41.1,+,19,42
2643,IC 2390,Galaxy,Cnc,,eF neb*,8,41.7,+,19,43
2653,,Asterism,Cam,,"vF, vS, F* close n, 2655 s",8,55.6,+,78,25
2663,ESO 371-14,Galaxy,Pyx,,"pF, pS, lE",8,45.1,-,33,48
2682,M 67,Open Cluster,Cnc,6.9,"Size: 30.  ! Cl, vB, vL, eRi, lC, st 10.",8,50.4,+,11,49
2689,,Galaxy,UMa,,"vvF, S",8,55.2,+,49,9
2702,,Star,Hya,,"vF, vS, 4' nf 2699",8,55.9,-,3,3
2703,,Double Star,Hya,,"eF, lE, doubtful",8,55.9,-,3,17
2705,,Star,Hya,,"vF, vS, 3 st 14 f, nf",8,56,-,3,0
2707,,Star,Hya,,"eF, S",8,56.2,-,3,4
2722,NGC 2733,Galaxy,Hya,,"vF, vS, stellar",8,58.8,-,3,43
2734,NPM1G +17.0238,Galaxy,Cnc,,"eF, vS, R",9,3,+,16,50
2736,RCW 37,Galaxy,Vel,,"! eeF, vL, vvmE 19deg",9,0.4,-,45,54
2754,ESO 564-16,Galaxy,Hya,,"eF, S, R, 1st of 3",9,5,-,19,5
2757,ESO 564-**18,Double Star,Hya,,"eF, 2nd of 3; only a D*, dist 12""",9,5.5,-,19,2
2775,UGC 4820,Galaxy,Cnc,10.3,"Size: 4.5  cB, cL, R, vgvsmbM, r",9,10.3,+,7,2
2829,,Galaxy,Lyn,,"eF, vS, R, nf 2826",9,19.5,+,33,40
2843,,Galaxy,Cnc,,S* and neb,9,20.4,+,18,57
2845,ESO 314-10,Galaxy,Vel,,"vF, S, R, *12 att sf",9,18.6,-,38,0
2846,,,Hya,,"vS Cl (neb?), *10 sf 4'",9,19.9,-,14,41
2849,OCL 756,Open Cluster,Vel,,"eF, cL, R, vglbM, rr",9,19.3,-,40,31
2850,NPM1G -04.0292,Galaxy,Hya,,"vF, vS, R, mbM",9,21,-,4,55
2867,PK 278-5.1,Planetary Nebula,Car,10,"Size: 0.2  !! PN  = *8, vS, R, *15, 59de",9,21.4,-,58,19
2868,NPM1G -10.0299,,Hya,,"eF, S, R, 10s  p 2869",9,23.4,-,10,25
2869,NGC 2863,,Hya,,"eF, pS, E 170deg , gbM, bet 2 F st; = 28",9,23.6,-,10,26
2871,,,Leo,,"eF, 2872 sf 1'",9,25.7,+,11,27
2879,,Triple Star,Hya,,"vF, vS, R, lbM",9,25.4,-,11,40
2883,ESO 372-24,Galaxy,Pyx,,"vF, S, vglbM, rrr, st 15",9,25.2,-,34,5
2885,IC 538,Galaxy,Leo,,"eF, vS, E 90deg",9,29.6,+,22,57
2886,,Triple Star,Hya,,"eeF, pL",9,26.5,-,21,46
2897,NPM1G +02.0220,Galaxy,Hya,,"eF, S",9,29.8,+,2,12
2912,,Galaxy,Leo,,"eF, 2911 sp",9,33.7,+,10,9
2920,ESO 565-15,Galaxy,Hya,,"eF, S, R, p of 2",9,34.3,-,20,51
2956,ESO 565-34,Galaxy,Hya,,"vF, vS, R, *9.5 sf 4'",9,39.3,-,19,6
2961,MCG 12-9-63,Galaxy,UMa,,"Size: 0.9  cF, S, lE, nf 2959",9,45.4,+,68,36
2973,,Galaxy,Ant,,"eF, pS, *8 f",9,38,-,30,8
2975,NPM1G -16.0291,Galaxy,Hya,,"eeF, S, R, gbM",9,41.2,-,16,39
3000,,Double Star,UMa,,"vF, S, iR, r",9,49.1,+,44,8
3004,,Double Star,UMa,,"eF, suspected",9,49.2,+,44,7
3028,ESO 566-16,Galaxy,Hya,,"F, S, R, lbM",9,49.9,-,19,10
3029,MCG 1-25-47,Galaxy,Sex,,"pF, pS, R",9,48.7,-,8,3
3031,M 81,Galaxy,UMa,6.9,"Size: 25.7  ! eB, eL, E 156deg , gsvmbMB",9,55.6,+,69,4
3034,M 82,Galaxy,UMa,8.4,"Size: 11.2  vB, vL, vmE (ray); = M82",9,55.8,+,69,41
3046,,Star,Ant,,"pF, R, sp of 2",9,53.3,-,27,19
3063,,Double Star,UMa,,"F, pS, R",10,1.6,+,72,8
3103,NGC 3100,Galaxy,Ant,,"eF, pL, R; = 3100",10,0.7,-,31,40
3112,ESO 567-11,Galaxy,Hya,,"eF, eS, R; neb?",10,4,-,20,46
3115,MCG 1-26-18,Galaxy,Sex,9.2,"Size: 8.3  vB, L, vmE 46deg , vgsmbMEN",10,5.2,-,7,43
3120,ESO 374-29,Galaxy,Ant,,"F, pS, R, gbM",10,5.4,-,34,13
3122,NGC 3110,Galaxy,Sex,,"F, S, lE, er",10,6.5,-,6,32
3132,PK 272+12.1,Planetary Nebula,Vel,8,"Size: 0.8  !! PN , vB, vL, lE *9 M, 4s  ",10,7,-,40,26
3133,,Galaxy,Hya,,"eF, vS, R",10,7.2,-,11,57
3137,ESO 435-47,Galaxy,Ant,,"Size: 6.8  vF, S, lE",10,9.2,-,29,4
3152,MCG 7-21-18A,Galaxy,LMi,,"Size: 1.0  eF, vS, iR, eF* close sp",10,13.6,+,38,50
3157,IC 2555,Galaxy,Ant,,"vF, pS, E, *8-9 sp",10,11.8,-,31,38
3161,MCG 7-21-22,Galaxy,LMi,,"Size: 1.0  vF, vS",10,14,+,38,39
3171,ESO 567-31,Galaxy,Hya,,"eF, S, R, gbM",10,15.6,-,20,39
3195,PK 296-20.1,Planetary Nebula,Cha,,"Size: 0.6  ! PN , pB, S, lE, 13s  d, 3 S",10,9.5,-,80,52
3201,Dunlop 445,Globular Cluster,Vel,6.8,"Size: 18.2  glob. cl. , vL, iR, lCM, st ",10,17.6,-,46,25
3210,,Galaxy,Dra,,"stellar, 1st of 3 in line, 1' apart",10,27.2,+,79,51
3224,ESO 375-13,Galaxy,Ant,,"vF, pS, R, vgmbM",10,21.6,-,34,42
3229,,Double Star,Sex,,F,10,23.4,+,0,4
3234,NGC 3235,,Leo,,"pB, pS, R, psbM",10,24.9,+,27,1
3242,PK 261+32.1,Planetary Nebula,Hya,9,"Size: 20.8  ! PN , vB, lE 147deg , 45"" d",10,24.8,-,18,38
3244,ESO 317-24,Galaxy,Ant,,"Size: 1.9  vF, *11 n 90""",10,25.5,-,39,50
3249,ESO 375-24,Galaxy,Ant,,"eF, pL, R, vgvlbM",10,26.3,-,34,58
3257,ESO 375-36,Galaxy,Ant,,"Size: 1.1  vF, vS, R, psbM, 1st of 4",10,28.8,-,35,40
3260,ESO 375-40,Galaxy,Ant,,"Size: 1.3  vvF, vS, R, pslbM, 3rd of 4",10,29.1,-,35,36
3262,ESO 263-42,Galaxy,Vel,,"Size: 1.2  eF, S, R",10,29.2,-,44,10
3263,ESO 263-43,Galaxy,Vel,,"Size: 3.6  F, S, mE 280deg , psbM",10,29.3,-,44,8
3272,,Galaxy,LMi,,"F, vS, iR, 3277 nf",10,32.2,+,28,27
3276,ESO 317-40,Galaxy,Ant,,"F, S, *8 p",10,31.1,-,39,57
3278,ESO 317-43,Galaxy,Ant,,"F, S, R, D* nf",10,31.6,-,39,57
3284,NGC 3286,Star,UMa,,"eF, vS",10,36,+,58,32
3289,ESO 375-65,Galaxy,Ant,,"Size: 2.2  eF, vS, R",10,34.2,-,35,20
3295,NGC 3280,Galaxy,Hya,,"eF, pL, bM, D or st inv; = 3280",10,32.7,-,12,38
3296,IC 618,Galaxy,Hya,,"eF, pS, R, bM",10,32.7,-,12,43
3315,ESO 501-G048,,Hya,,"vF, pL, iR, gvlbM, * 1' np; = 3314",10,37.3,-,27,46
3321,NGC 3322,Galaxy,Hya,,"Size: 2.7  eF, pS, mE 160deg , * np end",10,38.8,-,11,39
3322,NGC 3321,,Hya,,"F, iF, * p; = 3321",10,38.8,-,11,39
3328,,,Leo,,"vS Cl, not nebs",10,39.7,+,9,13
3333,ESO 376-2,Galaxy,Ant,,"eF, vS, mE, *15 att",10,39.9,-,36,3
3339,NGC 3340,Star,Sex,,"eF, stellar",10,42.2,-,0,22
3342,NGC 3332,Star,Leo,,"eF, eS",10,42.7,+,9,26
3345,,Double Star,Leo,,eeF (if anything),10,43.6,+,11,59
3351,M 95,Galaxy,Leo,9.7,"Size: 7.4  B, L, R, pgmbMN; = M95",10,44,+,11,42
3360,MCG 2-28-3,,Sex,,"vF, R, pair with 3361",10,44.3,-,11,36
3361,MCG 2-28-4,,Sex,,"mE 160deg , brighter than 3360",10,44.4,-,11,37
3366,IC 2592,Galaxy,Vel,,"F, E, gbM, *6-7 vnr",10,35.2,-,43,41
3368,M 96,Galaxy,Leo,9.2,"Size: 7.1  vB, vL, lE, vsvmbM, r; = M96",10,46.8,+,11,49
3371,NGC 3384,Star,Leo,,"eF, R, 2nd of 3",10,47,+,13,48
3372,Dunlop 309,Nebula,Car,,"Size: 120.  ! great neb, eta Car",10,43.8,-,59,52
3373,NGC 3389,Star,Leo,,"F, R, 3rd of 3",10,47.2,+,13,40
3378,ESO 318-12,Galaxy,Ant,,"cF, S, R, glbM",10,46.6,-,40,1
3379,M 105,Galaxy,Leo,9.3,"Size: 4.5  vB, cL, R, psbM, r; = M105",10,47.8,+,12,35
3398,IC 644,Galaxy,UMa,,"Size: 1.3  vF, S, E, er",10,51.5,+,55,23
3402,NGC 3411,Galaxy,Hya,,"F, R",10,50,-,12,40
